Date : 2022-12-06 22:37:17
Directory : c:\Users\Pooya909\Desktop\Projects\shopapp
Total : 98 files,  1960 codes, 99 comments, 502 blanks, all 2561 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         73 |      1,259 |         89 |        410 |      1,758 |
| Django HTML      |         16 |        415 |          4 |         65 |        484 |
| JavaScript       |          4 |        171 |          2 |         21 |        194 |
| pip requirements |          1 |         59 |          0 |          0 |         59 |
| CSS              |          4 |         56 |          4 |          6 |         66 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         98 |      1,960 |         99 |        502 |      2,561 |
| ShopApp                                                                                                                 |          5 |        111 |         60 |         49 |        220 |
| apps                                                                                                                    |         80 |      1,461 |         30 |        409 |      1,900 |
| apps\account                                                                                                            |         18 |        413 |          6 |        132 |        551 |
| apps\account\migrations                                                                                                 |          6 |         86 |          5 |         32 |        123 |
| apps\account\templates                                                                                                  |          3 |         29 |          0 |          7 |         36 |
| apps\account\templates\account                                                                                          |          3 |         29 |          0 |          7 |         36 |
| apps\cart                                                                                                               |         14 |        297 |          5 |         70 |        372 |
| apps\cart\migrations                                                                                                    |          5 |         78 |          4 |         26 |        108 |
| apps\cart\templates                                                                                                     |          1 |         64 |          0 |          4 |         68 |
| apps\cart\templates\cart                                                                                                |          1 |         64 |          0 |          4 |         68 |
| apps\home                                                                                                               |         15 |        223 |          4 |         57 |        284 |
| apps\home\migrations                                                                                                    |          3 |         48 |          2 |         14 |         64 |
| apps\home\templates                                                                                                     |          2 |         82 |          0 |         15 |         97 |
| apps\home\templates\home                                                                                                |          2 |         82 |          0 |         15 |         97 |
| apps\home\templatetags                                                                                                  |          2 |         10 |          0 |          4 |         14 |
| apps\order                                                                                                              |         14 |        235 |          9 |         68 |        312 |
| apps\order\migrations                                                                                                   |          5 |         90 |          4 |         26 |        120 |
| apps\order\templates                                                                                                    |          1 |         33 |          4 |          6 |         43 |
| apps\order\templates\order                                                                                              |          1 |         33 |          4 |          6 |         43 |
| apps\user                                                                                                               |         18 |        293 |          6 |         81 |        380 |
| apps\user\migrations                                                                                                    |          4 |         48 |          3 |         20 |         71 |
| apps\user\templates                                                                                                     |          6 |        120 |          0 |         21 |        141 |
| apps\user\templates\user                                                                                                |          6 |        120 |          0 |         21 |        141 |
| static                                                                                                                  |          8 |        227 |          6 |         27 |        260 |
| static\script                                                                                                           |          4 |        171 |          2 |         21 |        194 |
| static\script\cart                                                                                                      |          3 |        142 |          1 |         17 |        160 |
| static\script\pay                                                                                                       |          1 |         29 |          1 |          4 |         34 |
| static\styles                                                                                                           |          4 |         56 |          4 |          6 |         66 |
| templates                                                                                                               |          3 |         87 |          0 |         12 |         99 |
| templates\inc                                                                                                           |          2 |         61 |          0 |          5 |         66 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\__init__.py                                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\asgi.py                                                              | Python           |          4 |          8 |          5 |         17 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\settings.py                                                          | Python           |         91 |         29 |         35 |        155 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\urls.py                                                              | Python           |         12 |         15 |          3 |         30 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\ShopApp\wsgi.py                                                              | Python           |          4 |          8 |          5 |         17 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\__init__.py                                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\__init__.py                                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\admin.py                                                        | Python           |         28 |          0 |          9 |         37 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\apps.py                                                         | Python           |          4 |          0 |          3 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\forms.py                                                        | Python           |         59 |          0 |         16 |         75 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0001_initial.py                                      | Python           |         23 |          1 |          7 |         31 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0002_otpcode_alter_user_phone_number.py              | Python           |         20 |          1 |          6 |         27 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0003_alter_otpcode_code_alter_otpcode_phone.py       | Python           |         17 |          1 |          6 |         24 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0004_alter_otpcode_phone.py                          | Python           |         12 |          1 |          6 |         19 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\0005_user_defualt_address.py                         | Python           |         14 |          1 |          6 |         21 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\migrations\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\models.py                                                       | Python           |         72 |          0 |         28 |        100 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\templates\account\login.html                                    | Django HTML      |          9 |          0 |          2 |         11 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\templates\account\register.html                                 | Django HTML      |          9 |          0 |          3 |         12 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\templates\account\verify_code.html                              | Django HTML      |         11 |          0 |          2 |         13 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\tests.py                                                        | Python           |          1 |          1 |          2 |          4 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\urls.py                                                         | Python           |          9 |          0 |          3 |         12 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\utils.py                                                        | Python           |         10 |          0 |          2 |         12 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\account\views.py                                                        | Python           |        115 |          0 |         29 |        144 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\__init__.py                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\admin.py                                                           | Python           |          8 |          0 |          3 |         11 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\apps.py                                                            | Python           |          4 |          0 |          3 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0001_initial.py                                         | Python           |         29 |          1 |          7 |         37 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0002_remove_itemsession_order_itemsession_cart.py       | Python           |         17 |          1 |          6 |         24 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0003_alter_itemsession_cart.py                          | Python           |         13 |          1 |          6 |         20 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\0004_itemsession_craeted_itemsession_modified.py        | Python           |         19 |          1 |          6 |         26 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\migrations\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\models.py                                                          | Python           |         32 |          0 |          7 |         39 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\templates\cart\checkout.html                                       | Django HTML      |         64 |          0 |          4 |         68 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\tests.py                                                           | Python           |          1 |          1 |          2 |          4 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\urls.py                                                            | Python           |          7 |          0 |          3 |         10 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\utils.py                                                           | Python           |         57 |          0 |         15 |         72 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\cart\views.py                                                           | Python           |         46 |          0 |          6 |         52 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\__init__.py                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\admin.py                                                           | Python           |          4 |          1 |          0 |          5 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\apps.py                                                            | Python           |          4 |          0 |          3 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\contexts.py                                                        | Python           |          6 |          0 |          1 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\migrations\0001_initial.py                                         | Python           |         36 |          1 |          7 |         44 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\migrations\0002_alter_product_image.py                             | Python           |         12 |          1 |          6 |         19 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\migrations\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\models.py                                                          | Python           |         27 |          0 |          8 |         35 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templates\home\detail.html                                         | Django HTML      |         48 |          0 |         10 |         58 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templates\home\index.html                                          | Django HTML      |         34 |          0 |          5 |         39 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templatetags\__init__.py                                           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\templatetags\base_tags.py                                          | Python           |         10 |          0 |          3 |         13 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\tests.py                                                           | Python           |          1 |          1 |          2 |          4 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\urls.py                                                            | Python           |          8 |          0 |          3 |         11 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\home\views.py                                                           | Python           |         33 |          0 |          6 |         39 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\__init__.py                                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\admin.py                                                          | Python           |         11 |          0 |          3 |         14 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\apps.py                                                           | Python           |          4 |          0 |          3 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0001_initial.py                                        | Python           |         41 |          1 |          7 |         49 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0002_remove_paymentdetail_order_orderdetail_payment.py | Python           |         18 |          1 |          6 |         25 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0003_remove_orderdetail_payment_paymentdetail_order.py | Python           |         18 |          1 |          6 |         25 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\0004_alter_paymentdetail_order.py                      | Python           |         13 |          1 |          6 |         20 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\migrations\__init__.py                                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\models.py                                                         | Python           |         44 |          0 |         12 |         56 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\templates\order\payment.html                                      | Django HTML      |         33 |          4 |          6 |         43 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\tests.py                                                          | Python           |          1 |          1 |          2 |          4 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\urls.py                                                           | Python           |          7 |          0 |          3 |         10 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\utils.py                                                          | Python           |         18 |          0 |          9 |         27 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\order\views.py                                                          | Python           |         27 |          0 |          3 |         30 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\__init__.py                                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\admin.py                                                           | Python           |          5 |          1 |          0 |          6 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\apps.py                                                            | Python           |          4 |          0 |          3 |          7 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\forms.py                                                           | Python           |         25 |          0 |          8 |         33 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\0001_initial.py                                         | Python           |         18 |          1 |          7 |         26 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\0002_address_to.py                                      | Python           |         15 |          1 |          6 |         22 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\0003_alter_address_to.py                                | Python           |         15 |          1 |          6 |         22 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\migrations\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\models.py                                                          | Python           |         15 |          1 |          2 |         18 |
| c:\Users\Pooya909\Desktop\Projects\shopapp\apps\user\templates\user\addresses.html                                      | Django HTML      |         31 |          0 |          5 |         36 |
